Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Albany,Weekly,1/4/2021 0:00,Conventional,0.85,183736.86,7960.17,149597.06,84.41,20523.93,16700.07,1037.19,2786.67,5571.29
Atlanta,Weekly,1/4/2021 0:00,Conventional,0.77,863924.39,339750.67,50361.11,90.12,174050.18,171857.45,2152.73,40,299672.31
Baltimore/Washington,Weekly,1/4/2021 0:00,Conventional,0.94,1148720.46,244350.06,306121.25,3905.09,495777,307722.83,169324.17,18730,98567.06
Boise,Weekly,1/4/2021 0:00,Conventional,0.81,167339.56,41349.05,16139.39,1292.01,34234.06,21524.28,12691.87,17.91,74325.05
Boston,Weekly,1/4/2021 0:00,Conventional,1.14,790638.79,15877.34,433198.2,205.55,212077.7,198535.73,8861.97,4680,129280
Buffalo/Rochester,Weekly,1/4/2021 0:00,Conventional,0.95,224480.3,33473.77,66524.94,1989.09,118215.36,79839.7,33635.66,4740,4277.14
California,Weekly,1/4/2021 0:00,Conventional,0.95,8330243.54,2202669.14,943923.74,289031.24,1273146.51,1080473.44,135837.4,56835.67,3621472.91
Charlotte,Weekly,1/4/2021 0:00,Conventional,0.91,445868.47,165208.69,57001.73,4650.42,189496.84,163631.87,25844.97,20,29510.79
Chicago,Weekly,1/4/2021 0:00,Conventional,1.07,1010514.74,113620.98,191053.37,42629.3,208596.22,206021.64,2561.25,13.33,454614.87
Cincinnati/Dayton,Weekly,1/4/2021 0:00,Conventional,0.74,404789.04,62126.92,76192.36,4978.67,29339.95,29334.39,5.56,0,232151.14
Columbus,Weekly,1/4/2021 0:00,Conventional,0.74,322982.07,54032.69,59556.9,612.24,38595,38551.67,33.33,10,170185.24
Dallas/Ft. Worth,Weekly,1/4/2021 0:00,Conventional,0.61,1812802.1,541713.93,296703.52,26858.93,494960.75,339149.39,155448.03,363.33,452564.97
Denver,Weekly,1/4/2021 0:00,Conventional,0.79,1216868.36,215979.19,150990.28,2864.09,238164.4,217280.98,20828.84,54.58,608870.4
Detroit,Weekly,1/4/2021 0:00,Conventional,0.75,714372.32,92243.75,111173.01,123047.87,100549.73,99603.63,942.77,3.33,287357.96
Grand Rapids,Weekly,1/4/2021 0:00,Conventional,0.83,326681.52,23905.47,93678.44,130951.96,47444.58,47346.81,94.44,3.33,30701.07
Great Lakes,Weekly,1/4/2021 0:00,Conventional,0.82,5695256.73,845238.6,1180793.41,518673.31,913118.84,890325,22489.95,303.89,2237432.57
Harrisburg/Scranton,Weekly,1/4/2021 0:00,Conventional,0.98,413476.67,161733.81,110781,98.4,131005.23,118916.92,2398.31,9690,9858.23
Hartford/Springfield,Weekly,1/4/2021 0:00,Conventional,1.07,442462.01,10584.57,331444,378.23,93406.77,80091.41,9428.69,3886.67,6648.44
Houston,Weekly,1/4/2021 0:00,Conventional,0.6,1701262.3,501816.98,429487.35,2845.45,259129.12,180168.89,69193.56,9766.67,507983.4
Indianapolis,Weekly,1/4/2021 0:00,Conventional,0.72,318474.93,55445.1,82164.77,2646.12,59586.91,59429.69,130.55,26.67,118632.03
Jacksonville,Weekly,1/4/2021 0:00,Conventional,0.75,265445.51,116151.73,14339.79,61.15,64922.93,34136.51,22701.42,8085,69969.91
Las Vegas,Weekly,1/4/2021 0:00,Conventional,0.69,518401.52,62120.94,58350.62,302.09,126774.14,97985.94,28684.03,104.17,270853.73
Los Angeles,Weekly,1/4/2021 0:00,Conventional,0.87,4113373.54,1101283.09,85458.38,221677.97,617855.48,473346.92,99667.36,44841.2,2087098.62
Louisville,Weekly,1/4/2021 0:00,Conventional,0.82,162705.26,26292.81,27778.63,71.26,31706.46,27716.46,44.44,3945.56,76856.1
Miami/Ft. Lauderdale,Weekly,1/4/2021 0:00,Conventional,0.76,1113009.83,534674.7,54952.13,100.9,237688.72,176170.66,57879.17,3638.89,285593.38
Midsouth,Weekly,1/4/2021 0:00,Conventional,0.85,5026216.53,1562243.94,871984.66,18933.87,1629870.25,1185873.9,363681.91,80314.44,943183.81
Nashville,Weekly,1/4/2021 0:00,Conventional,0.75,339862.38,116956.66,22737.59,112.9,79101.66,67884.48,1942.18,9275,120953.57
New Orleans/Mobile,Weekly,1/4/2021 0:00,Conventional,0.6,425533.12,169762.33,35813.34,423.61,144732.72,104103.65,32745.74,7883.33,74801.12
New York,Weekly,1/4/2021 0:00,Conventional,0.96,2388356.41,61924.74,1289306.87,1917.58,955051.93,621488.09,320710.51,12853.33,80155.29
Northeast,Weekly,1/4/2021 0:00,Conventional,0.95,6919856.03,597119.64,3597640.66,9079.22,2229197.74,1541194.81,622829.04,65173.89,486818.77
Northern New England,Weekly,1/4/2021 0:00,Conventional,0.84,846316.49,16289.66,655427.27,105.15,85583.32,79627.63,115.13,5840.56,88911.09
Orlando,Weekly,1/4/2021 0:00,Conventional,0.73,660310.1,271603.67,22451.46,114.11,205309.02,118495.82,76890.42,9922.78,160831.84
Philadelphia,Weekly,1/4/2021 0:00,Conventional,0.81,771491.25,132283.15,229810.82,242.52,351722.25,154753.58,190092,6876.67,57432.51
Phoenix/Tucson,Weekly,1/4/2021 0:00,Conventional,0.53,1796082.85,496606.43,274121.53,5186.77,153432.73,141578.43,11790.97,63.33,866735.39
Pittsburgh,Weekly,1/4/2021 0:00,Conventional,0.89,185151.7,52059.17,11849.6,1,41014.42,39765.53,388.89,860,80227.51
Plains,Weekly,1/4/2021 0:00,Conventional,0.79,2849260.39,976692.22,734475.66,867.61,622861.28,479070.58,143690.7,100,514363.62
Portland,Weekly,1/4/2021 0:00,Conventional,0.93,923859.83,113027.33,166151.67,10084.35,107418.28,43657.68,63760.6,0,527178.2
Raleigh/Greensboro,Weekly,1/4/2021 0:00,Conventional,0.88,549313.13,216544.24,90940.71,4793.4,206882.39,169601.49,37264.23,16.67,30152.39
Richmond/Norfolk,Weekly,1/4/2021 0:00,Conventional,0.86,389437.68,117602.83,79712.11,1040.55,93774.12,75219.54,8531.24,10023.34,97308.07
Roanoke,Weekly,1/4/2021 0:00,Conventional,0.77,250159.95,75868.79,34838.49,47.69,49635.22,35657.79,8736.87,5240.56,89769.76
Sacramento,Weekly,1/4/2021 0:00,Conventional,0.96,634036.18,164985.86,247895.43,6028.51,103201.34,90444.54,12720.13,36.67,111925.04
San Diego,Weekly,1/4/2021 0:00,Conventional,0.92,768316.53,125561.48,39192.18,26053.11,112813.52,100847.54,2773.21,9192.77,464696.24
San Francisco,Weekly,1/4/2021 0:00,Conventional,1.18,1065026.47,281599.88,206768.9,10505.91,169898.3,166916.35,2965.28,16.67,396253.48
Seattle,Weekly,1/4/2021 0:00,Conventional,0.98,835076.89,89950.91,186652.87,166.38,75345.07,74756.88,588.19,0,482961.66
South Carolina,Weekly,1/4/2021 0:00,Conventional,0.8,660809.25,271945.32,60323.06,1702.75,186784.82,149559.15,34168.45,3057.22,140053.3
South Central,Weekly,1/4/2021 0:00,Conventional,0.6,8804735.5,2873421.83,1524878.42,270286.42,2056823.31,1337176.94,693313.04,26333.33,2079325.52
Southeast,Weekly,1/4/2021 0:00,Conventional,0.75,6407185.99,2745830.2,335940.98,2624.77,1579399.22,1174659.11,356284.56,48455.55,1743390.82
Spokane,Weekly,1/4/2021 0:00,Conventional,0.84,140256.19,20360.47,24264.74,29.72,15686.56,15283.09,403.47,0,79914.7
St. Louis,Weekly,1/4/2021 0:00,Conventional,0.73,303228.99,145012.42,13035.13,47.81,71671.36,71190.17,474.52,6.67,73462.27
Syracuse,Weekly,1/4/2021 0:00,Conventional,0.92,108405.89,11554.6,53690.09,802.51,38581.01,28158.36,7625.98,2796.67,3777.68
Tampa,Weekly,1/4/2021 0:00,Conventional,0.72,688574.76,278390.17,31915.77,13.45,185659.8,114815.64,70840.83,3.33,192595.57
Total U.S.,Weekly,1/4/2021 0:00,Conventional,0.8,53700226.15,13743429.8,10634953.92,1146453.33,11812596.9,8915223.29,2604128.77,293244.84,16362792.2
West,Weekly,1/4/2021 0:00,Conventional,0.75,9667471.08,1940214.23,1445316.4,36956.88,1508179.62,1226449.39,266002.17,15728.06,4736803.95
West Tex/New Mexico,Weekly,1/4/2021 0:00,Conventional,0.58,1172270.09,327434.29,221760.49,21968.48,334398.74,229528.57,104856.84,13.33,266708.09
Albany,Weekly,1/4/2021 0:00,Organic,1.39,3427,62,457,12,2692,1470,1222,0,204
Atlanta,Weekly,1/4/2021 0:00,Organic,1.25,40863,90,3475,0,18800,9690,9110,0,18498
Baltimore/Washington,Weekly,1/4/2021 0:00,Organic,1.22,83583,649,3726,0,77570,71379,6191,0,1637
Boise,Weekly,1/4/2021 0:00,Organic,1.45,7770,5,1063,0,2865,1811,1054,0,3838
Boston,Weekly,1/4/2021 0:00,Organic,1.65,38871,78,4066,0,34514,32938,1576,0,213
Buffalo/Rochester,Weekly,1/4/2021 0:00,Organic,1.35,14177,912,148,1,13117,13117,0,0,0
California,Weekly,1/4/2021 0:00,Organic,1.56,383929,19270,22389,15,170490,122652,47838,0,171764
Charlotte,Weekly,1/4/2021 0:00,Organic,1.34,21420,105,4375,22,16203,16190,13,0,716
Chicago,Weekly,1/4/2021 0:00,Organic,1.16,116724,534,3243,0,86718,10599,76119,0,26229
Cincinnati/Dayton,Weekly,1/4/2021 0:00,Organic,1.28,19577,413,2720,0,5460,1552,3908,0,10984
Columbus,Weekly,1/4/2021 0:00,Organic,1.26,11672,595,1084,0,4522,1757,2765,0,5470
Dallas/Ft. Worth,Weekly,1/4/2021 0:00,Organic,1.13,54101,4396,88,263,34639,21443,13196,0,14715
Denver,Weekly,1/4/2021 0:00,Organic,1.09,58547,4158,975,0,27813,10779,17034,0,25602
Detroit,Weekly,1/4/2021 0:00,Organic,1.19,21700,310,2371,0,11461,3986,7475,0,7558
Grand Rapids,Weekly,1/4/2021 0:00,Organic,1.19,7974,59,2127,0,5788,4549,1240,0,0
Great Lakes,Weekly,1/4/2021 0:00,Organic,1.21,279007,6475,20112,0,170396,56973,113423,0,82024
Harrisburg/Scranton,Weekly,1/4/2021 0:00,Organic,1.17,20428,330,462,0,19631,19488,143,0,5
Hartford/Springfield,Weekly,1/4/2021 0:00,Organic,1.35,27212,324,16177,0,10688,10688,0,0,23
Houston,Weekly,1/4/2021 0:00,Organic,1.14,30140,6139,13,0,11800,881,10918,0,12189
Indianapolis,Weekly,1/4/2021 0:00,Organic,1.16,10239,144,875,0,5914,3068,2846,0,3306
Jacksonville,Weekly,1/4/2021 0:00,Organic,0.9,7297,43,295,2,6921,4654,0,2266,37
Las Vegas,Weekly,1/4/2021 0:00,Organic,1.33,16147,601,363,0,6837,4087,2751,0,8346
Los Angeles,Weekly,1/4/2021 0:00,Organic,1.36,171436,7510,3285,6,67197,24960,42237,0,93438
Louisville,Weekly,1/4/2021 0:00,Organic,1.19,8991,19,806,0,4202,323,3170,709,3964
Miami/Ft. Lauderdale,Weekly,1/4/2021 0:00,Organic,0.93,15803,179,0,0,15624,14443,0,1181,0
Midsouth,Weekly,1/4/2021 0:00,Organic,1.15,321407,2608,26300,142,255704,196374,47500,11830,36653
Nashville,Weekly,1/4/2021 0:00,Organic,1.12,18136,46,945,0,11854,2144,6344,3366,5292
New Orleans/Mobile,Weekly,1/4/2021 0:00,Organic,1.09,8290,65,0,0,6897,2683,4214,0,1327
New York,Weekly,1/4/2021 0:00,Organic,1.63,95843,11040,10652,4,68827,68827,0,0,5321
Northeast,Weekly,1/4/2021 0:00,Organic,1.49,301388,18415,40688,20,228541,214305,14236,0,13725
Northern New England,Weekly,1/4/2021 0:00,Organic,1.53,25803,59,694,0,21973,11576,10397,0,3078
Orlando,Weekly,1/4/2021 0:00,Organic,0.93,13790,196,0,0,13593,9974,0,3620,0
Philadelphia,Weekly,1/4/2021 0:00,Organic,1.46,31183,1769,2591,0,23294,22199,1095,0,3530
Phoenix/Tucson,Weekly,1/4/2021 0:00,Organic,1.11,40493,2883,10529,0,15824,11037,4787,0,11258
Pittsburgh,Weekly,1/4/2021 0:00,Organic,1.33,13472,2347,7,0,10064,10043,21,0,1055
Plains,Weekly,1/4/2021 0:00,Organic,1.15,70703,5004,2205,31,53521,48843,4678,0,9941
Portland,Weekly,1/4/2021 0:00,Organic,1.2,85937,2604,14391,0,13335,2347,10988,0,55607
Raleigh/Greensboro,Weekly,1/4/2021 0:00,Organic,1.26,27538,832,3554,62,22182,22174,8,0,908
Richmond/Norfolk,Weekly,1/4/2021 0:00,Organic,0.9,36985,13,1801,3,32127,24792,7334,0,3042
Roanoke,Weekly,1/4/2021 0:00,Organic,1,17401,14,1624,0,12154,7796,3734,624,3609
Sacramento,Weekly,1/4/2021 0:00,Organic,1.75,21701,2521,2747,0,12184,12184,0,0,4250
San Diego,Weekly,1/4/2021 0:00,Organic,1.29,36977,1128,1583,2,11224,6714,4510,0,23040
San Francisco,Weekly,1/4/2021 0:00,Organic,1.95,78943,3144,6422,1,44400,44400,0,0,24976
Seattle,Weekly,1/4/2021 0:00,Organic,1.6,80496,1323,16862,0,12651,2904,9747,0,49660
South Carolina,Weekly,1/4/2021 0:00,Organic,1.21,30692,663,3292,52,22970,20316,1776,878,3716
South Central,Weekly,1/4/2021 0:00,Organic,1.14,214021,17847,1634,2649,129592,76984,52608,0,62299
Southeast,Weekly,1/4/2021 0:00,Organic,1.08,183873,1638,9355,50,143151,108782,19844,14525,29679
Spokane,Weekly,1/4/2021 0:00,Organic,1.44,8914,81,985,0,3098,1058,2040,0,4750
St. Louis,Weekly,1/4/2021 0:00,Organic,1.8,6997,898,1102,0,3315,3315,0,0,1682
Syracuse,Weekly,1/4/2021 0:00,Organic,1.4,3951,265,161,0,3450,3096,354,0,75
Tampa,Weekly,1/4/2021 0:00,Organic,0.88,16434,128,0,0,16306,16306,0,0,0
Total U.S.,Weekly,1/4/2021 0:00,Organic,1.29,2224399,90895,182971,3877,1305915,903320,376239,26355,640741
West,Weekly,1/4/2021 0:00,Organic,1.28,470071,19637,60289,969,154520,78408,76112,0,234656
West Tex/New Mexico,Weekly,1/4/2021 0:00,Organic,1.13,34604,878,670,2174,20008,17859,2149,0,10875
Albany,Weekly,1/10/2021 0:00,Conventional,1.2,156964.48,7668.53,112416.37,33,31279.04,27447.12,918.59,2913.33,5567.54
Atlanta,Weekly,1/10/2021 0:00,Conventional,0.81,891750.56,350203.19,44200.96,31.4,184598.46,180392.14,4169.65,36.67,312716.55
Baltimore/Washington,Weekly,1/10/2021 0:00,Conventional,1.12,1086254.98,206455.65,309588.35,3353.95,458310.92,363654.04,76400.22,18256.66,108546.11
Boise,Weekly,1/10/2021 0:00,Conventional,0.95,155014.98,41229.01,12834.69,1297.41,38425.57,23956.3,14469.27,0,61228.3
Boston,Weekly,1/10/2021 0:00,Conventional,1.21,883096.8,18305.03,435289.24,114.46,232941.82,219853.91,6954.58,6133.33,196446.25
Buffalo/Rochester,Weekly,1/10/2021 0:00,Conventional,0.96,245920.96,24783.48,69058.31,2856.75,144606.92,118261.13,21255.79,5090,4615.5
California,Weekly,1/10/2021 0:00,Conventional,1.08,7974020.28,1956112.26,835362.8,232107.97,1460548.3,1214730.86,165623.61,80193.83,3489888.95
Charlotte,Weekly,1/10/2021 0:00,Conventional,0.9,421160.28,163266.73,53458.3,4244.29,166585.35,141260.02,25288.66,36.67,33605.61
Chicago,Weekly,1/10/2021 0:00,Conventional,1.19,957778.41,145242.97,138894.89,49350.5,229431.62,226750.98,2663.98,16.66,394858.43
Cincinnati/Dayton,Weekly,1/10/2021 0:00,Conventional,0.85,381919.75,67596.31,60985.68,4005.51,38173.82,38149.38,11.11,13.33,211158.43
Columbus,Weekly,1/10/2021 0:00,Conventional,0.84,279578.7,56866.95,41813.11,445.67,52125.39,51855.39,266.67,3.33,128327.58
Dallas/Ft. Worth,Weekly,1/10/2021 0:00,Conventional,0.63,1937631.12,630898.04,217442.73,12462.2,585993.41,407867.76,177552.32,573.33,490834.74
Denver,Weekly,1/10/2021 0:00,Conventional,0.9,1219088.75,184780.28,139553.06,3041.93,300529.53,263527.56,36961.97,40,591183.95
Detroit,Weekly,1/10/2021 0:00,Conventional,0.91,571747.36,95185.9,69641.28,58857.93,129777.29,128449.51,1321.11,6.67,218284.96
Grand Rapids,Weekly,1/10/2021 0:00,Conventional,1.26,225681.97,18434.7,55007.16,68776,61813.68,61474.79,338.89,0,21650.43
Great Lakes,Weekly,1/10/2021 0:00,Conventional,0.95,5050148.07,887388.13,880506.98,289185.58,1120814.56,1091903.1,28417.57,493.89,1872252.82
Harrisburg/Scranton,Weekly,1/10/2021 0:00,Conventional,0.98,430838.94,159887.47,112964.77,74.17,146743.36,134934.82,2125.21,9683.33,11169.17
Hartford/Springfield,Weekly,1/10/2021 0:00,Conventional,1.22,441587.51,11388.52,316844.33,236.51,105518.25,89809.08,10235.84,5473.33,7599.9
Houston,Weekly,1/10/2021 0:00,Conventional,0.65,1649296.68,537171.44,297728,3557.47,300345.03,210592.55,73199.14,16553.34,510494.74
Indianapolis,Weekly,1/10/2021 0:00,Conventional,0.8,300834.73,60240.08,69424.11,2547.89,69078.06,69026.12,35.27,16.67,99544.59
Jacksonville,Weekly,1/10/2021 0:00,Conventional,0.83,257852.04,116427.07,9330.12,97.37,69468.93,39939.97,26707.29,2821.67,62528.55
Las Vegas,Weekly,1/10/2021 0:00,Conventional,0.8,469755.12,70606.35,39640.49,64.82,153993.44,117563.02,36388.89,41.53,205450.02
Los Angeles,Weekly,1/10/2021 0:00,Conventional,1.12,3627630.5,907227.84,70384.26,178972.15,748331.9,566457.37,115525.7,66348.83,1722714.35
Louisville,Weekly,1/10/2021 0:00,Conventional,0.87,152206.34,28899.17,18009.29,46.89,38866.19,34037.86,33.33,4795,66384.8
Miami/Ft. Lauderdale,Weekly,1/10/2021 0:00,Conventional,0.84,1145085.12,527933.12,41841.66,124.54,275455.8,215883.26,58209.21,1363.33,299730
Midsouth,Weekly,1/10/2021 0:00,Conventional,0.91,4928218.58,1505105.92,820871.13,16301.48,1615935.37,1276009.33,250153.26,89772.78,970004.68
Nashville,Weekly,1/10/2021 0:00,Conventional,0.78,346754.01,117268.81,19666.74,197.6,85925.44,72397.17,2272.71,11255.56,123695.42
New Orleans/Mobile,Weekly,1/10/2021 0:00,Conventional,0.7,428002.93,150193.27,22827.08,253.2,170570.09,126154.63,31262.13,13153.33,84159.29
New York,Weekly,1/10/2021 0:00,Conventional,1.05,2406554.87,68139.44,1393157.77,1066.02,847583.35,637337,197993.02,12253.33,96608.29
Northeast,Weekly,1/10/2021 0:00,Conventional,1.07,6848650.22,580478.66,3476123.19,9639.85,2213643.15,1787469.49,355203.66,70970,568765.37
Northern New England,Weekly,1/10/2021 0:00,Conventional,1.07,718282.77,14643.72,462735.27,78.25,136047.33,129107.95,202.71,6736.67,104778.2
Orlando,Weekly,1/10/2021 0:00,Conventional,0.79,668377.34,283762.09,16214.77,140.36,219436.81,128758.71,86470.32,4207.78,148823.31
Philadelphia,Weekly,1/10/2021 0:00,Conventional,0.93,732797.33,139311.94,266107.08,222.32,264965.7,183070.66,74871.71,7023.33,62190.29
Phoenix/Tucson,Weekly,1/10/2021 0:00,Conventional,0.66,1497271.23,480326.67,193240.48,4530.27,202660,179645.01,22941.66,73.33,616513.81
Pittsburgh,Weekly,1/10/2021 0:00,Conventional,1.1,158782.97,35031.36,14742.47,9.69,52151.41,50749.19,372.22,1030,56848.04
Plains,Weekly,1/10/2021 0:00,Conventional,0.87,2692614.55,920663.65,550941.21,1018.74,730841.23,549903.74,180410.82,526.67,489149.72
Portland,Weekly,1/10/2021 0:00,Conventional,0.97,854118.87,129615.04,118150.35,3810,91515.67,47007.12,44508.55,0,511027.81
Raleigh/Greensboro,Weekly,1/10/2021 0:00,Conventional,0.85,562080.15,221178.36,75930.97,4204.53,218007.7,178791.23,39146.47,70,42758.59
Richmond/Norfolk,Weekly,1/10/2021 0:00,Conventional,0.86,400668.23,118328.08,81187.78,804.61,96800.37,72112.22,15761.48,8926.67,103547.39
Roanoke,Weekly,1/10/2021 0:00,Conventional,0.8,245563.32,72555.78,32875.66,39.03,53788.61,39308.46,9162.93,5317.22,86304.24
Sacramento,Weekly,1/10/2021 0:00,Conventional,1.03,620446.34,155588.72,186603.45,5270.49,115650.37,93899.26,21677.78,73.33,157333.31
San Diego,Weekly,1/10/2021 0:00,Conventional,1.19,685430.21,113059.29,30638.22,19703.2,130464.82,116981.03,3239.58,10244.21,391564.68
San Francisco,Weekly,1/10/2021 0:00,Conventional,1,1204533.44,264744.04,217613.31,8510.61,174953.3,172764.13,2162.5,26.67,538712.18
Seattle,Weekly,1/10/2021 0:00,Conventional,1.07,780462.68,95595.77,126350.24,182.87,87840.26,87833.59,0,6.67,470493.54
South Carolina,Weekly,1/10/2021 0:00,Conventional,0.86,638727.76,245624.03,49482.65,1399.32,203082.35,158982.73,42979.62,1120,139139.41
South Central,Weekly,1/10/2021 0:00,Conventional,0.66,8635983.33,2853535.77,1051632.93,134928.37,2442737.5,1651082.33,745598.51,46056.66,2153148.76
Southeast,Weekly,1/10/2021 0:00,Conventional,0.81,6469414.44,2711531.26,258075.45,2406.92,1720912.35,1293456.3,394476.61,32979.44,1776488.46
Spokane,Weekly,1/10/2021 0:00,Conventional,0.91,135345.81,21478.72,18197.07,7.95,20972.73,20972.73,0,0,74689.34
St. Louis,Weekly,1/10/2021 0:00,Conventional,0.79,290446.7,127377.3,20467.42,67.02,78958.9,78579.81,375.76,3.33,63576.06
Syracuse,Weekly,1/10/2021 0:00,Conventional,1.05,111904.19,10383.56,46116.09,967.72,50424.52,39547.8,7650.05,3226.67,4012.3
Tampa,Weekly,1/10/2021 0:00,Conventional,0.79,682349.95,266792.03,20937.5,19.61,199018.95,118242.92,80736.03,40,195581.86
Total U.S.,Weekly,1/10/2021 0:00,Conventional,0.89,51613834.04,13363389.86,8941365.96,710736.14,13139393.14,10377350.77,2422839.66,339202.71,15458948.94
West,Weekly,1/10/2021 0:00,Conventional,0.85,9014784.63,1948574.2,1067852.27,25147.25,1833960.73,1512795.65,302955.64,18209.44,4139250.18
West Tex/New Mexico,Weekly,1/10/2021 0:00,Conventional,0.64,1138008.14,337000.14,108841.2,13972.37,432536.2,315099.32,117420.21,16.67,245658.23
Albany,Weekly,1/10/2021 0:00,Organic,1.28,4634,58,481,0,3849,2134,1715,0,245
Atlanta,Weekly,1/10/2021 0:00,Organic,1.33,44631,157,3440,0,21761,10613,11148,0,19273
Baltimore/Washington,Weekly,1/10/2021 0:00,Organic,1.25,92131,687,3361,4,86634,80930,5704,0,1445
Boise,Weekly,1/10/2021 0:00,Organic,1.46,7886,10,874,0,3478,2196,1282,0,3524
Boston,Weekly,1/10/2021 0:00,Organic,1.67,55308,193,2250,0,52388,50551,1836,0,477
Buffalo/Rochester,Weekly,1/10/2021 0:00,Organic,1.38,23933,1122,157,0,22654,22654,0,0,0
California,Weekly,1/10/2021 0:00,Organic,1.73,373041,21994,22157,38,171386,117373,54012,0,157465
Charlotte,Weekly,1/10/2021 0:00,Organic,1.41,20649,142,3583,42,16118,16118,0,0,764
Chicago,Weekly,1/10/2021 0:00,Organic,1.19,112367,690,3504,0,82036,13242,68794,0,26137
